domain,class_label,length,sld_length,n_labels,digit_count,digit_ratio,alpha_count,alpha_ratio,hyphen_count,hyphen_ratio,vowel_count,vowel_ratio,consonant_count,consonant_ratio,unique_chars,unique_char_ratio,hex_char_ratio,char_entropy,bigram_entropy,trigram_entropy,longest_consonant_run,longest_digit_run,consec_consonant_ratio,consec_digit_ratio,repeated_char_ratio,gini_index,has_digits,starts_with_digit,digit_alpha_transitions,max_label_length,mean_label_length,std_label_length,tld_is_common,sld_digit_ratio,sld_entropy,subdomain_count,markov_log_likelihood,kl_div_from_benign,compression_ratio
nono4dhitam.live,benign,16.0,11.0,2.0,1.0,0.06666667,14.0,0.93333334,0.0,0.0,6.0,0.4,8.0,0.53333336,12.0,0.8,0.26666668,3.5068905,3.6644979,3.7004397,2.0,1.0,0.13333334,0.06666667,0.25,0.9066667,1.0,0.0,2.0,11.0,7.5,3.5,0.0,0.09090909,3.0957952,0.0,5.330714,0.738746,1.5333333
prescouter.com,benign,14.0,10.0,2.0,0.0,0.0,13.0,1.0,0.0,0.0,5.0,0.3846154,8.0,0.61538464,9.0,0.6923077,0.30769232,3.085055,3.4182959,3.4594316,2.0,0.0,0.15384616,0.0,0.44444445,0.87573963,0.0,0.0,0.0,10.0,6.5,3.5,1.0,0.0,2.9219282,0.0,4.386667,0.8044511,1.6153846
callreports.com,benign,15.0,11.0,2.0,0.0,0.0,14.0,1.0,0.0,0.0,4.0,0.2857143,10.0,0.71428573,10.0,0.71428573,0.2857143,3.2359264,3.7004397,3.5849626,4.0,0.0,0.2857143,0.0,0.4,0.8877551,0.0,0.0,0.0,11.0,7.0,4.0,1.0,0.0,3.0957952,0.0,5.1415386,0.6965497,1.5714285
zya.me,benign,6.0,3.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.4,3.0,0.6,5.0,1.0,0.4,2.321928,2.0,1.5849625,2.0,0.0,0.4,0.0,0.0,0.8,0.0,0.0,0.0,3.0,2.5,0.5,1.0,0.0,1.5849625,0.0,6.8075,1.9985888,2.6
bide-et-musique.com,benign,19.0,15.0,2.0,0.0,0.0,16.0,0.8888889,2.0,0.11111111,8.0,0.44444445,8.0,0.44444445,12.0,0.6666667,0.33333334,3.4613202,4.087463,4.0,1.0,0.0,0.055555556,0.0,0.41666666,0.90123457,0.0,0.0,0.0,15.0,9.0,6.0,1.0,0.0,3.189898,0.0,6.542941,0.93447644,1.4444444
rpg8888.co,benign,10.0,7.0,2.0,4.0,0.44444445,5.0,0.5555556,0.0,0.0,1.0,0.11111111,4.0,0.44444445,6.0,0.6666667,0.5555556,2.2810361,2.4056392,2.5216405,3.0,4.0,0.33333334,0.44444445,0.16666667,0.7407407,1.0,0.0,2.0,7.0,4.5,2.5,1.0,0.5714286,1.6644977,0.0,9.0975,2.9987352,1.6666666
dogsdns.net,benign,11.0,7.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,2.0,0.2,8.0,0.8,7.0,0.7,0.3,2.7219281,3.169925,3.0,6.0,0.0,0.6,0.0,0.42857143,0.84,0.0,0.0,0.0,7.0,5.0,2.0,1.0,0.0,2.2359264,0.0,7.058889,0.98456955,1.8
thekhatrimaza.buzz,benign,18.0,13.0,2.0,0.0,0.0,17.0,1.0,0.0,0.0,6.0,0.3529412,11.0,0.64705884,11.0,0.64705884,0.29411766,3.2927701,4.0,3.9068906,2.0,0.0,0.11764706,0.0,0.36363637,0.8858132,0.0,0.0,0.0,13.0,8.5,4.5,0.0,0.0,3.0269868,0.0,5.55875,1.2829528,1.4705882
indobetz77.quest,benign,16.0,10.0,2.0,2.0,0.13333334,13.0,0.8666667,0.0,0.0,5.0,0.33333334,8.0,0.53333336,12.0,0.8,0.4,3.5068905,3.807355,3.7004397,2.0,2.0,0.13333334,0.13333334,0.25,0.9066667,1.0,0.0,2.0,10.0,7.5,2.5,0.0,0.2,3.121928,0.0,6.01,1.295513,1.5333333
ngncloudns.com.tr,benign,17.0,10.0,3.0,0.0,0.0,15.0,1.0,0.0,0.0,3.0,0.2,12.0,0.8,11.0,0.73333335,0.2,3.3232315,3.807355,3.7004397,5.0,0.0,0.33333334,0.0,0.27272728,0.8888889,0.0,0.0,0.0,10.0,5.0,3.559026,0.0,0.0,2.8464394,0.0,6.053571,0.72835964,1.5333333
advantagetvs.com,benign,16.0,12.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,5.0,0.33333334,10.0,0.6666667,11.0,0.73333335,0.4,3.3232315,3.807355,3.7004397,4.0,0.0,0.26666668,0.0,0.27272728,0.8888889,0.0,0.0,0.0,12.0,7.5,4.5,1.0,0.0,2.8553886,0.0,5.61,0.7714774,1.5333333
51zsjc.com,benign,10.0,6.0,2.0,2.0,0.22222222,7.0,0.7777778,0.0,0.0,1.0,0.11111111,6.0,0.6666667,8.0,0.8888889,0.44444445,2.947703,3.0,2.807355,5.0,2.0,0.5555556,0.22222222,0.125,0.86419755,1.0,1.0,1.0,6.0,4.5,1.5,1.0,0.33333334,2.5849626,0.0,8.26875,2.1491425,1.8888888
interwetten21.com,benign,17.0,13.0,2.0,2.0,0.125,14.0,0.875,0.0,0.0,5.0,0.3125,9.0,0.5625,11.0,0.6875,0.375,3.2806392,3.7735572,3.807355,2.0,2.0,0.125,0.125,0.27272728,0.8828125,1.0,0.0,2.0,13.0,8.0,5.0,1.0,0.15384616,2.8150723,0.0,5.5086665,0.84193337,1.5
marmarabolge.com,benign,16.0,12.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,6.0,0.4,9.0,0.6,9.0,0.6,0.4,3.006239,3.5216405,3.5465937,2.0,0.0,0.13333334,0.0,0.44444445,0.8622222,0.0,0.0,0.0,12.0,7.5,4.5,1.0,0.0,2.8553886,0.0,4.6914287,0.94897795,1.5333333
